item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
65	Please read the following sentences and indicate your agreement or disagreement:	FALSE	People are truly worried about terrorism should shift their focus to the nutjobs on the far-right.	People are truly worried about terrorism should shift their focus to the nutjobs on the far-right.	People are truly worried about terrorism should not shift their focus to the nutjobs on the far-right.	People are truly worried about terrorism should shift their focus to the nutjobs on the far-left.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
66	Please read the following sentences and indicate your agreement or disagreement:	FALSE	The “old-fashioned ways” and “old-fashioned values” need to be abolished.	The “old-fashioned ways” and “old-fashioned values” need to be abolished.	The “old-fashioned ways” and “old-fashioned values” do not need to be abolished.	The “old-fashioned ways” and “old-fashioned values” need to be established.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
67	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Radical and progressive moral values can save our society.	Radical and progressive moral values can save our society.	Radical and progressive moral values cannot save our society.	Radical and progressive moral values can ruin our society.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
68	Please read the following sentences and indicate your agreement or disagreement:	FALSE	All political conservatives are fools.	All political conservatives are fools.	Not all political conservatives are fools.	No political conservatives are fools.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
69	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I cannot imagine myself becoming friends with a political conservative.	I cannot imagine myself becoming friends with a political conservative.	I can imagine myself becoming friends with a political conservative.	I cannot imagine myself becoming friends with a political liberal.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
70	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Conservatives are morally inferior to liberals.	Conservatives are morally inferior to liberals.	Conservatives are not morally inferior to liberals.	Conservatives are morally superior to liberals.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
71	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is important that we destroy the West's nationalist, imperialist values.	It is important that we destroy the West's nationalist, imperialist values.	It isn't important that we destroy the West's nationalist, imperialist values.	It is important that we protect the West's nationalist, imperialist values.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
72	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I try to expose myself to conservative news sources.	I try to expose myself to conservative news sources.	I try not to expose myself to conservative news sources.	I try to expose myself to liberal news sources.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Anticonventionalism	FALSE
73	Please read the following sentences and indicate your agreement or disagreement:	FALSE	There is nothing wrong with Bible camps.	There is nothing wrong with Bible camps.	There are some things wrong with Bible camps.	Everything is wrong with Bible camps.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Anticonventionalism	FALSE
74	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I hate being around nonprogressive people.	I hate being around nonprogressive people.	I don't hate being around nonprogressive people.	I love being around nonprogressive people.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	FALSE
75	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Classroom discussions should be safe places that protect students from disturbing ideas.	Classroom discussions should be safe places that protect students from disturbing ideas.	Classroom discussions should not be safe places that protect students from disturbing ideas.	Classroom discussions should be risky places that expose students to disturbing ideas.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Top-Down Censorship	FALSE
76	Please read the following sentences and indicate your agreement or disagreement:	FALSE	University authorities are right to ban hateful speech from campus.	University authorities are right to ban hateful speech from campus.	University authorities are not right to ban hateful speech from campus.	University authorities are wrong to ban hateful speech from campus.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Top-Down Censorship	FALSE
